member_name,member_number
CANTOR FITZGERALD & CO. - CANTOR CLEARING SERVICES,10585
"CANTOR FITZGERALD INVESTORS, LLC",17889
CANYON CAPITAL ADVISORS LLC,17944
"CAPITAL CLIENT GROUP, INC.",10595
CAPITAL GROUP COMPANIES GLOBAL,16791
CAPITAL INTEGRATION SYSTEMS LLC,15692
"CAPITAL INVESTMENT BROKERAGE, INC.",18929
"CAPITAL INVESTMENT GROUP, INC.",10601
"CAPITAL MARKET SECURITIES, INC.",23337
"CAPITAL Q MANAGEMENT, LLC",19798
"CAPITOL SECURITIES MANAGEMENT, INC.",22768
CAPSTACK PARTNERS LLC,17891
"CARILLON FUND DISTRIBUTORS, INC.",10993
"CARLSON CAPITAL, L.P.",18160
CARLYLE ALPINVEST PRIVATE MARKETS FUND,22257
CARLYLE ALPINVEST PRIVATE MARKETS SECONDARIES FUND,28437
"CARLYLE PRIVATE EQUITY PARTNERS FUND, L.P.",28200
CARMIGNAC GESTION SA,16788
CATALYST FUND ADMINISTRATION LLC,21140
CATALYST MGMT LLC,24838
"CATENARY ALTERNATIVES ASSET MANAGEMENT, LLC",16830
"CBIZ FINANCIAL SOLUTIONS, INC.",10649
"CCO CAPITAL, LLC",15221
CCV LLC,18757
CDS CLEARING AND DEPOSITORY SERVICES INC.,10653
CDS-SETTLEMENT,18930
"CENTAURUS FINANCIAL, INC.",16079
"CENTRAL PARK GROUP, LLC",18610
"CEROS FINANCIAL SERVICES, INC.",14780
CETAN MANAGEMENT LLC,23939
CETERA ADVISORS LLC,12514
CETERA FINANCIAL SPECIALISTS LLC,16562
CETERA INVESTMENT SERVICES LLC,13132
"CETERA WEALTH SERVICES, LLC",16054
"CF SECURED, LLC",18103
"CFD INVESTMENTS, INC.",18030
"CHARLES SCHWAB & CO., INC.",13543
CHARLES SCHWAB BANK,10681
"CHATHAM CAPITAL HOLDINGS, INC.",19192
CHEVY CHASE TRUST COMPANY,10692
"CHRISTINA REAL ESTATE INVESTORS 2, LLC",18334
CIBC WORLD MARKETS CORP.,10704
"CIG ASSET MANAGEMENT, INC.",18054
"CION INVESTMENT GROUP, LLC",17830
"CIR FEEDER FUND MANAGEMENT, LLC",17730
CITADEL CLEARING LLC,10715
CITADEL SECURITIES LLC,16734
"CITIBANK, N.A.",10720
CITIGROUP GLOBAL MARKETS INC.,15528
